SVM,ANOVA,CHI
OTU00589,#N/A,OTU00589
OTU06543,#N/A,OTU06543
OTU00582,#N/A,#N/A
OTU02748,#N/A,#N/A
OTU01848,#N/A,OTU01848
OTU03408,#N/A,OTU03408
OTU01374,#N/A,OTU01374
OTU04145,#N/A,OTU04145
OTU06254,#N/A,#N/A
OTU02457,#N/A,OTU02457
OTU03373,#N/A,OTU03373
OTU02195,#N/A,#N/A
OTU01947,#N/A,#N/A
OTU03396,#N/A,OTU03396
OTU02625,#N/A,OTU02625
OTU00424,#N/A,OTU00424
OTU00228,#N/A,#N/A
OTU03683,#N/A,OTU03683
OTU01349,#N/A,#N/A
OTU03028,#N/A,#N/A
OTU03862,#N/A,#N/A
OTU02454,#N/A,#N/A
OTU05340,#N/A,#N/A
OTU02566,#N/A,#N/A
OTU01356,#N/A,OTU01356
OTU01453,#N/A,OTU01453
OTU02456,#N/A,OTU02456
OTU02858,#N/A,OTU02858
OTU01073,#N/A,#N/A
OTU04872,#N/A,#N/A
OTU00947,#N/A,OTU00947
OTU03024,#N/A,OTU03024
OTU03058,#N/A,#N/A
OTU01575,#N/A,OTU01575
OTU06221,#N/A,#N/A
OTU00580,#N/A,#N/A
OTU03678,#N/A,#N/A
OTU02871,#N/A,#N/A
OTU05648,#N/A,#N/A
OTU01700,#N/A,OTU01700
OTU01345,#N/A,OTU01345
OTU00868,#N/A,OTU00868
OTU03680,#N/A,#N/A
OTU05457,#N/A,#N/A
OTU00488,#N/A,#N/A
OTU03734,#N/A,#N/A
OTU03061,#N/A,#N/A
OTU00080,#N/A,#N/A
OTU02869,#N/A,#N/A
OTU01339,#N/A,#N/A
